name,liga_start,staerke_min,staerke_max
FC Bayern München,1,78,100
Hamburger SV,1,68,95
Borussia Mönchengladbach,1,62,90
VfB Stuttgart,1,58,85
SV Werder Bremen,1,55,85
Borussia Dortmund,1,52,85
1. FC Köln,1,50,82
Bayer 04 Leverkusen,1,48,80
Eintracht Frankfurt,1,45,78
1. FC Kaiserslautern,1,45,78
VfL Bochum,1,42,75
1. FC Nürnberg,1,40,75
FC Schalke 04,1,45,78
Hertha BSC,1,42,75
Arminia Bielefeld,1,40,72
Fortuna Düsseldorf,1,38,70
MSV Duisburg,1,38,70
Karlsruher SC,1,38,70
Eintracht Braunschweig,1,35,68
Kickers Offenbach,1,35,65
SV Waldhof Mannheim,1,35,65
Bayer 05 Uerdingen,1,35,68
Rot-Weiss Essen,1,33,65
Fortuna Köln,1,33,65
FC 08 Homburg,1,33,65
SG Wattenscheid 09,1,30,62
SC Freiburg,1,35,65
FC Hansa Rostock,1,35,65
Hannover 96,1,35,68
Blau-Weiß 90 Berlin,1,28,58
BFC Dynamo Berlin,1,50,78
Dynamo Dresden,1,48,75
FC Lokomotive Leipzig,1,42,70
1. FC Magdeburg,1,42,70
Carl Zeiss Jena,1,40,68
1. FC Saarbrücken,1,32,65
TSV 1860 München,1,30,62
Alemannia Aachen,1,28,60
SpVgg Greuther Fürth,1,25,58
FC St. Pauli,1,25,55
SV Darmstadt 98,2,32,62
SSV Ulm 1846,2,28,58
Stuttgarter Kickers,2,25,55
Wuppertaler SV,2,25,55
Holstein Kiel,2,25,55
KSV Hessen Kassel,2,22,50
SG Union Solingen,2,20,48
SC Fortuna Köln,2,22,52
Rot-Weiß Oberhausen,2,20,48
VfL Osnabrück,2,25,55
Preußen Münster,2,25,55
Tennis Borussia Berlin,2,25,55
FC Augsburg,2,25,55
VfL Wolfsburg,2,28,58
SpVgg Bayreuth,2,28,58
Chemnitzer FC,2,25,55
Rot-Weiß Erfurt,2,22,52
FC Vorwärts Frankfurt,2,22,52
1. FC Union Berlin,2,22,52
FC Energie Cottbus,2,22,52
FC Sachsen Leipzig,2,20,50
SV Babelsberg 03,2,20,48
FK Pirmasens,2,18,45
SV Meppen,2,18,45
Wormatia Worms,2,15,42
AS Koblenz,2,18,45
FC Remscheid,2,15,42
Rot-Weiß Frankfurt,3,10,38
Kickers Würzburg,3,15,42
VfB Oldenburg,3,10,35
SV Elversberg,3,15,42
FC Gütersloh,3,12,38
SV Rödinghausen,3,10,35
Westfalia Herne,3,12,38
SC Victoria Hamburg,3,10,35
Altona 93,3,10,35
VfB Lübeck,3,15,42
SC Fortuna Hamburg,3,10,35
SV Wilhelmshaven,3,10,35
Kickers Emden,3,12,38
FC Teutonia Ottensen,3,10,35
SpVgg Erkenschwick,3,12,40
Bonner SC 01,3,10,38
Rot-Weiss Ahlen,3,10,38
SSV Reutlingen 05,3,15,42
Sportfreunde Siegen,3,12,38
TuRU Düsseldorf,3,10,35
FC 08 Villingen,3,12,38
Bahlinger SC,3,10,35
SV Wehen Wiesbaden,3,15,42
Eintracht Trier,3,15,42
TuS Koblenz,3,15,42
Hamborn 07,3,10,35
SC Viktoria Köln,3,12,38
1. FC Heidenheim,3,15,42
SV Sandhausen,3,15,42
VfB Zittau,3,10,35
Stahl Brandenburg,3,10,35
BSG Chemie Leipzig,3,12,38
SC Eisenhüttenstadt,3,10,35
Roter Stern Leipzig,3,10,35
VfR Aalen,3,15,42
SC Paderborn,3,15,42
FC Ingolstadt,3,15,42
Hallescher FC,3,18,45
